data_pull_date,card_number,account_type,block_code,credit_limit,product_id,bill_cycle_end_date,payment_due_date,account_open_date,account_number,avg_spend,credit_utilised
2025-02-18,9966803425076400,business,C,1000000,B99,2025-01-06,2025-02-01,2020-06-28,760966202538,247970,9
2025-02-18,1100554786351499,corporate,C,500000,C11,2025-01-17,2025-02-11,2015-03-08,442223375118,77923,31
2025-02-18,9966729746061566,business,C,1000000,B99,2024-12-03,2024-12-31,2020-03-30,520880739063,280250,88
2025-02-18,4433655859722491,rewards,A,50000,R44,2024-12-21,2025-01-21,2016-12-28,100316665182,19562,33
2025-02-18,5586540046045994,standard,C,100000,S55,2025-01-02,2025-01-27,2015-02-01,897020171190,19899,64
2025-02-18,4433316603145722,rewards,A,250000,R44,2024-12-20,2025-01-24,2019-10-10,716534700495,102623,53
2025-02-18,5586539178002018,standard,B,250000,S55,2024-12-08,2025-01-06,2017-09-17,193128148515,104598,63
2025-02-18,5586408809053135,standard,C,250000,S55,2024-11-24,2024-12-30,2015-10-12,880350650290,107755,30
2025-02-18,1100422742262024,corporate,C,500000,C11,2025-01-03,2025-02-05,2018-10-11,289951645604,124638,11
2025-02-18,9966107536687459,business,A,500000,B99,2024-11-29,2024-12-24,2020-12-15,199400846793,247331,70
2025-02-18,5586191096613082,standard,B,3000000,S55,2024-12-15,2025-01-09,2016-12-11,454052397219,1462352,54
2025-02-18,1100168343859491,corporate,D,50000,C11,2024-12-03,2025-01-12,2022-09-07,576376876511,19219,32
2025-02-18,4433118739394034,rewards,A,1000000,R44,2024-11-23,2024-12-31,2020-01-10,741245823908,235434,68
2025-02-18,4433662148950072,rewards,D,1000000,R44,2024-12-01,2024-12-29,2019-12-27,931902215171,453380,13
2025-02-18,9966609702354157,business,B,3000000,B99,2024-12-03,2025-01-12,2019-12-18,805423581528,272896,95
2025-02-18,5586966726109197,standard,D,500000,S55,2024-12-28,2025-01-23,2019-12-13,319929926342,192035,97
2025-02-18,1100580593611758,corporate,A,100000,C11,2025-01-14,2025-02-19,2015-11-20,903200783876,18229,45
2025-02-18,4433772056222922,rewards,C,250000,R44,2025-01-06,2025-02-11,2018-11-08,111374806171,106196,52
2025-02-18,5586509125381222,standard,B,500000,S55,2024-12-22,2025-01-28,2021-11-10,418666689576,168095,23
2025-02-18,1100139184530010,corporate,B,50000,C11,2024-12-01,2024-12-28,2016-06-18,505214491428,12767,27
2025-02-18,1100004168891087,corporate,C,50000,C11,2025-01-07,2025-02-09,2015-02-18,062560413668,13842,31
2025-02-18,5586698447657201,standard,B,250000,S55,2024-11-26,2024-12-29,2017-12-01,025836658196,21765,13
2025-02-18,9966579080103909,business,D,3000000,B99,2025-01-18,2025-02-21,2021-11-11,128730324500,751950,33
2025-02-18,5586239531255551,standard,A,100000,S55,2025-01-16,2025-02-21,2015-03-06,256708425454,39738,1
2025-02-18,9966540161640052,business,B,50000,B99,2024-11-21,2024-12-21,2021-02-23,954574141171,16886,29
2025-02-18,9966748208042838,business,A,250000,B99,2024-11-25,2025-01-03,2016-06-27,072165370275,84185,43
2025-02-18,4433476374490419,rewards,C,250000,R44,2024-12-08,2025-01-10,2020-10-25,570325376615,88526,82
2025-02-18,5586107379096919,standard,B,250000,S55,2024-12-30,2025-01-26,2019-07-17,825801523668,84726,53
2025-02-18,4433198023962518,rewards,D,500000,R44,2024-12-17,2025-01-21,2019-06-27,031436311281,185973,41
2025-02-18,4433074718394890,rewards,B,100000,R44,2025-01-09,2025-02-07,2015-01-10,435837119933,11736,57
2025-02-18,4433853276961153,rewards,C,3000000,R44,2025-01-11,2025-02-08,2019-02-05,167224372478,170233,52
2025-02-18,5586838319799301,standard,B,50000,S55,2024-11-29,2025-01-07,2017-02-14,497429376756,21874,74
2025-02-18,9966310527686533,business,B,1000000,B99,2024-12-03,2025-01-02,2022-04-21,350269422900,175894,85
2025-02-18,4433740890745053,rewards,B,50000,R44,2024-11-27,2025-01-05,2020-04-22,047493873804,10558,73
2025-02-18,9966230970465553,business,B,500000,B99,2025-01-14,2025-02-20,2016-01-05,972560424042,246373,18
2025-02-18,1100076477544687,corporate,B,100000,C11,2025-01-01,2025-02-03,2020-03-30,124482448093,14700,49
2025-02-18,9966807628426423,business,B,250000,B99,2024-12-26,2025-01-28,2019-08-09,069620349468,116234,83
2025-02-18,9966256523823849,business,B,50000,B99,2024-12-13,2025-01-10,2022-04-12,466009514877,16465,23
2025-02-18,9966723311487874,business,B,1000000,B99,2024-12-18,2025-01-14,2020-12-20,246844147964,482837,13
2025-02-18,5586119588355737,standard,A,3000000,S55,2024-12-09,2025-01-17,2021-12-22,591334762625,353839,6
2025-02-18,9966460481746312,business,D,250000,B99,2024-11-26,2025-01-04,2022-04-18,707067759683,46630,46
2025-02-18,4433710147829059,rewards,D,1000000,R44,2024-11-25,2024-12-24,2015-11-20,715840709981,352254,12
2025-02-18,5586873537834000,standard,B,1000000,S55,2024-12-11,2025-01-06,2022-11-18,839231272667,494254,3
2025-02-18,4433324016570792,rewards,B,1000000,R44,2025-01-08,2025-02-04,2016-07-01,599600506137,248058,13
2025-02-18,9966468417370373,business,A,500000,B99,2024-12-10,2025-01-09,2015-07-20,025848125299,232250,4
2025-02-18,5586417538977095,standard,C,250000,S55,2024-12-21,2025-01-21,2018-05-09,051446866641,45476,58
2025-02-18,1100341223391888,corporate,A,50000,C11,2024-11-21,2024-12-17,2018-02-23,295543227279,18359,17
2025-02-18,1100308596602397,corporate,D,50000,C11,2024-12-15,2025-01-11,2019-04-07,262394072179,22342,66
2025-02-18,4433934319724131,rewards,C,250000,R44,2024-11-27,2024-12-27,2018-10-12,676999292136,123189,18
2025-02-18,9966181558324849,business,C,1000000,B99,2024-11-28,2024-12-27,2019-01-15,216491225341,154358,24
2025-02-18,9966099737516704,business,D,250000,B99,2025-01-11,2025-02-11,2018-05-06,993507382556,78741,87
2025-02-18,4433326937570133,rewards,B,500000,R44,2025-01-03,2025-02-11,2015-11-11,709978644087,203973,50
2025-02-18,1100165332612026,corporate,C,1000000,C11,2024-12-26,2025-01-29,2022-08-04,274369643134,133186,54
2025-02-18,9966162750794189,business,C,100000,B99,2024-11-25,2025-01-04,2020-05-10,839676665687,20900,39
2025-02-18,1100512262351246,corporate,D,250000,C11,2024-12-12,2025-01-15,2015-11-07,348442404913,86739,70
2025-02-18,1100526311088849,corporate,D,1000000,C11,2024-12-22,2025-01-26,2019-02-12,143021311589,469191,63
2025-02-18,4433320168065071,rewards,C,250000,R44,2025-01-07,2025-02-03,2019-11-15,149653301489,37554,10
2025-02-18,5586482691742610,standard,B,3000000,S55,2025-01-09,2025-02-14,2015-05-29,880727379937,831543,92
2025-02-18,5586512181257713,standard,A,3000000,S55,2025-01-14,2025-02-22,2017-10-24,399358376133,724161,71
2025-02-18,5586418670733676,standard,A,250000,S55,2025-01-04,2025-02-02,2017-11-17,790328917357,43585,49
2025-02-18,4433401167969700,rewards,C,250000,R44,2024-12-21,2025-01-30,2022-03-08,827929917215,123927,8
2025-02-18,4433455390577692,rewards,D,3000000,R44,2025-01-14,2025-02-14,2016-02-26,709892765034,998450,92
2025-02-18,4433408053750996,rewards,B,1000000,R44,2024-11-24,2025-01-02,2018-04-10,466250160163,90524,62
2025-02-18,1100164863866807,corporate,C,1000000,C11,2024-12-09,2025-01-03,2018-06-21,224980548364,27868,99
2025-02-18,5586673123970247,standard,C,1000000,S55,2024-11-27,2025-01-02,2019-12-17,982452378212,137445,19
2025-02-18,1100019928341383,corporate,A,100000,C11,2024-12-12,2025-01-21,2020-09-02,600597528115,31958,44
2025-02-18,4433688626876081,rewards,A,3000000,R44,2025-01-16,2025-02-10,2020-04-26,504581842750,181266,17
2025-02-18,4433176265031382,rewards,D,250000,R44,2024-12-22,2025-01-22,2015-09-15,872421608237,16946,64
2025-02-18,4433510641442276,rewards,A,1000000,R44,2024-12-20,2025-01-17,2019-08-19,995779288277,406730,75
2025-02-18,1100481270482067,corporate,C,1000000,C11,2024-12-22,2025-01-20,2020-12-23,332513029025,206681,69
2025-02-18,4433574649018649,rewards,B,1000000,R44,2024-12-29,2025-02-07,2015-06-21,525249550711,296442,57
2025-02-18,1100967219504784,corporate,D,500000,C11,2024-12-24,2025-01-23,2016-08-27,980088458511,117696,39
2025-02-18,4433762770152617,rewards,D,100000,R44,2025-01-02,2025-02-06,2020-12-07,874615781517,35178,74
2025-02-18,9966203554811256,business,D,3000000,B99,2024-12-29,2025-01-27,2017-10-09,018759623424,623597,68
