data_pull_date,card_number,amount_due,due_in_30_days,due_in_60_days,due_in_90_days,due_in_120_days,due_in_150_days,due_in_180_days,due_in_210_days
2025-02-18,9966803425076400,627218,639762,652306,664851,677395,689939,702484,721300
2025-02-18,1100554786351499,127593,130144,132696,135248,137800,140352,142904,146731
2025-02-18,9966729746061566,331726,338360,344995,351629,358264,364898,371533,381484
2025-02-18,4433655859722491,32102,32744,33386,34028,34670,35312,35954,36917
2025-02-18,5586540046045994,92405,94253,96101,97949,99797,101645,103493,106265
2025-02-18,4433316603145722,80379,81986,83594,85201,86809,88416,90024,92435
2025-02-18,5586539178002018,20543,20953,21364,21775,22186,22597,23008,23624
2025-02-18,5586408809053135,123238,125702,128167,130632,133097,135561,138026,141723
2025-02-18,1100422742262024,492588,502439,512291,522143,531995,541846,551698,566476
2025-02-18,9966107536687459,153219,156283,159347,162412,165476,168540,171605,176201
2025-02-18,5586191096613082,343189,350052,356916,363780,370644,377507,384371,394667
2025-02-18,1100168343859491,36399,37126,37854,38582,39310,40038,40766,41858
2025-02-18,4433118739394034,611222,623446,635670,647895,660119,672344,684568,702905
2025-02-18,4433662148950072,930935,949553,968172,986791,1005409,1024028,1042647,1070575
2025-02-18,9966609702354157,1583020,1614680,1646340,1678001,1709661,1741322,1772982,1820472
2025-02-18,5586966726109197,93765,95640,97515,99390,101266,103141,105016,107829
2025-02-18,1100580593611758,70821,72237,73653,75070,76486,77903,79319,81444
2025-02-18,4433772056222922,46017,46937,47857,48778,49698,50618,51539,52919
2025-02-18,5586509125381222,26793,27328,27864,28400,28936,29472,30008,30811
2025-02-18,1100139184530010,44822,45718,46614,47511,48407,49304,50200,51545
2025-02-18,1100004168891087,23270,23735,24200,24666,25131,25597,26062,26760
2025-02-18,5586698447657201,206903,211041,215179,219317,223455,227593,231731,237938
2025-02-18,9966579080103909,2409667,2457860,2506053,2554247,2602440,2650633,2698827,2771117
2025-02-18,5586239531255551,94186,96069,97953,99837,101720,103604,105488,108313
2025-02-18,9966540161640052,40726,41540,42355,43169,43984,44798,45613,46834
2025-02-18,9966748208042838,23981,24460,24940,25419,25899,26379,26858,27578
2025-02-18,4433476374490419,243998,248877,253757,258637,263517,268397,273277,280597
2025-02-18,5586107379096919,98396,100363,102331,104299,106267,108235,110203,113155
2025-02-18,4433198023962518,305564,311675,317786,323897,330009,336120,342231,351398
2025-02-18,4433074718394890,83179,84842,86506,88169,89833,91496,93160,95655
2025-02-18,4433853276961153,1059045,1080225,1101406,1122587,1143768,1164949,1186130,1217901
2025-02-18,5586838319799301,20819,21235,21651,22068,22484,22900,23317,23941
2025-02-18,9966310527686533,390841,398657,406474,414291,422108,429925,437741,449467
2025-02-18,4433740890745053,28677,29250,29824,30397,30971,31544,32118,32978
2025-02-18,9966230970465553,456072,465193,474314,483436,492557,501679,510800,524482
2025-02-18,1100076477544687,14379,14666,14954,15241,15529,15816,16104,16535
2025-02-18,9966807628426423,174995,178494,181994,185494,188994,192494,195994,201244
2025-02-18,9966256523823849,38050,38811,39572,40333,41094,41855,42616,43757
2025-02-18,9966723311487874,617967,630326,642685,655045,667404,679763,692123,710662
2025-02-18,5586119588355737,686326,700052,713779,727505,741232,754958,768685,789274
2025-02-18,9966460481746312,153574,156645,159716,162788,165859,168931,172002,176610
2025-02-18,4433710147829059,800645,816657,832670,848683,864696,880709,896722,920741
2025-02-18,5586873537834000,185850,189567,193284,197001,200718,204435,208152,213727
2025-02-18,4433324016570792,861615,878847,896079,913311,930544,947776,965008,990857
2025-02-18,9966468417370373,377714,385268,392822,400376,407931,415485,423039,434371
2025-02-18,5586417538977095,161992,165231,168471,171711,174951,178191,181431,186290
2025-02-18,1100341223391888,46425,47353,48282,49210,50139,51067,51996,53388
2025-02-18,1100308596602397,15557,15868,16179,16490,16801,17112,17423,17890
2025-02-18,4433934319724131,241267,246092,250917,255743,260568,265393,270219,277457
2025-02-18,9966181558324849,557733,568887,580042,591196,602351,613506,624660,641392
2025-02-18,9966099737516704,149419,152407,155395,158384,161372,164360,167349,171831
2025-02-18,4433326937570133,203570,207641,211712,215784,219855,223927,227998,234105
2025-02-18,1100165332612026,961803,981039,1000275,1019511,1038747,1057983,1077219,1106073
2025-02-18,9966162750794189,51886,52923,53961,54999,56036,57074,58112,59668
2025-02-18,1100512262351246,150953,153972,156991,160010,163029,166048,169067,173595
2025-02-18,1100526311088849,843424,860292,877160,894029,910897,927766,944634,969937
2025-02-18,4433320168065071,228948,233526,238105,242684,247263,251842,256421,263290
2025-02-18,5586482691742610,104105,106187,108269,110351,112433,114515,116597,119720
2025-02-18,5586512181257713,576933,588471,600010,611548,623087,634626,646164,663472
2025-02-18,5586418670733676,53255,54320,55385,56450,57515,58580,59645,61243
2025-02-18,4433401167969700,142927,145785,148644,151502,154361,157219,160078,164366
2025-02-18,4433455390577692,204128,208210,212293,216375,220458,224540,228623,234747
2025-02-18,4433408053750996,572530,583980,595431,606881,618332,629783,641233,658409
2025-02-18,1100164863866807,934886,953583,972281,990979,1009676,1028374,1047072,1075118
2025-02-18,5586673123970247,669518,682908,696298,709689,723079,736469,749860,769945
2025-02-18,1100019928341383,89691,91484,93278,95072,96866,98660,100453,103144
2025-02-18,4433688626876081,2694313,2748199,2802085,2855971,2909858,2963744,3017630,3098459
2025-02-18,4433176265031382,127558,130109,132660,135211,137762,140313,142864,146691
2025-02-18,4433510641442276,317544,323894,330245,336596,342947,349298,355649,365175
2025-02-18,1100481270482067,620679,633092,645506,657919,670333,682746,695160,713780
2025-02-18,4433574649018649,215134,219436,223739,228042,232344,236647,240950,247404
2025-02-18,1100967219504784,419652,428045,436438,444831,453224,461617,470010,482599
2025-02-18,4433762770152617,67088,68429,69771,71113,72455,73796,75138,77151
2025-02-18,9966203554811256,594107,605989,617871,629753,641635,653517,665399,683223
2025-02-18,4433985966733759,333468,340137,346806,353476,360145,366814,373484,383488
2025-02-18,4433794619246739,218701,223075,227449,231823,236197,240571,244945,251506
2025-02-18,9966003609230740,48241,49205,50170,51135,52100,53065,54029,55477
2025-02-18,4433068637879381,345202,352106,359010,365914,372818,379722,386626,396982
2025-02-18,1100795768444930,161436,164664,167893,171122,174350,177579,180808,185651
2025-02-18,9966827932790332,59596,60787,61979,63171,64363,65555,66747,68535
2025-02-18,4433195392994435,626772,639307,651842,664378,676913,689449,701984,720787
2025-02-18,4433365684193447,35449,36157,36866,37575,38284,38993,39702,40766
2025-02-18,9966860273987766,68367,69734,71101,72469,73836,75203,76571,78622
2025-02-18,9966325234166944,217720,222074,226428,230783,235137,239492,243846,250377
2025-02-18,5586884010874402,502404,512452,522500,532548,542596,552644,562692,577764
2025-02-18,4433896468296788,245118,250020,254922,259825,264727,269629,274532,281885
2025-02-18,9966828824453854,983790,1003465,1023141,1042817,1062493,1082169,1101844,1131358
2025-02-18,9966431659881062,99646,101638,103631,105624,107617,109610,111603,114592
2025-02-18,1100144276155925,27055,27596,28137,28678,29219,29760,30301,31113
2025-02-18,1100994973937864,15906,16224,16542,16860,17178,17496,17814,18291
2025-02-18,9966775037298658,86797,88532,90268,92004,93740,95476,97212,99816
2025-02-18,1100616290238803,448054,457015,465976,474937,483898,492859,501820,515262
2025-02-18,1100791522630195,53763,54838,55913,56988,58064,59139,60214,61827
2025-02-18,1100249245995713,384611,392303,399995,407687,415379,423072,430764,442302
2025-02-18,1100821395103579,1142959,1165818,1188677,1211536,1234395,1257254,1280114,1314402
2025-02-18,9966442350109599,1647301,1680247,1713193,1746139,1779085,1812031,1844977,1894396
2025-02-18,5586583721501092,927975,946534,965094,983653,1002213,1020772,1039332,1067171
2025-02-18,1100775441405775,18014,18374,18734,19094,19455,19815,20175,20716
2025-02-18,1100525215472235,41090,41911,42733,43555,44377,45199,46020,47253
2025-02-18,5586683340123716,93826,95702,97579,99455,101332,103208,105085,107899
