data_pull_date,card_number,amount_due,due_in_30_days,due_in_60_days,due_in_90_days,due_in_120_days,due_in_150_days,due_in_180_days,due_in_210_days
2025-02-18,9966803425076401,536689,580883,919007,939819,659113,658877,696428,1123042
2025-02-18,1100554786351500,56594,30379,138644,73026,64151,15816,49889,16535
2025-02-18,9966729746061567,175820,14666,204286,177029,69987,68298,16104,56094
2025-02-18,4433655859722492,139089,14666,269044,221722,120687,75951,161460,19159
2025-02-18,5586540046045995,459774,792184,992166,1159526,499223,923930,796534,603135
2025-02-18,4433316603145723,436734,734636,700855,2136636,747852,2204382,506225,581293
2025-02-18,5586539178002019,612977,657366,788452,892519,707272,1939985,655465,751643
2025-02-18,5586408809053136,69683,135779,219092,131907,80102,15816,197183,194664
2025-02-18,1100422742262025,433891,157363,188643,213468,106001,1620854,127879,1068182
2025-02-18,9966107536687460,100583,102204,116384,209381,170233,35751,102936,58450
2025-02-18,5586191096613083,14379,57102,217376,225927,23746,38010,16104,78318
2025-02-18,1100168343859492,800862,128342,823464,793560,903883,1476682,281184,74510
2025-02-18,4433118739394035,179762,15371,160734,246748,15529,66576,62661,93922
2025-02-18,4433662148950073,156754,18789,612541,282835,15529,15816,70711,93335
2025-02-18,9966609702354158,193116,21853,170914,282515,217232,20091,16104,16535
2025-02-18,5586966726109198,119866,34476,212224,179132,89956,217274,107905,140017
2025-02-18,1100580593611759,17893,23089,72933,101631,35087,17325,127658,82127
2025-02-18,4433772056222923,635565,681322,665737,624743,628188,309780,87958,737489
2025-02-18,5586509125381223,112782,66950,159461,157214,136012,122779,145326,196892
2025-02-18,1100139184530011,62320,103130,192751,226090,23987,114975,1632259,104668
2025-02-18,1100004168891088,685908,447861,796383,815848,299356,692735,1275595,584863
2025-02-18,5586698447657202,72674,31513,157511,152221,73666,15816,141117,164202
2025-02-18,9966579080103910,46303,108386,90404,200636,141088,125732,86518,76843
2025-02-18,5586239531255552,129580,103940,124210,227761,31280,177884,150737,130147
2025-02-18,9966540161640053,108632,93103,108356,72435,71442,33657,77106,289370
2025-02-18,9966748208042839,173568,38006,24905,112082,85957,123823,142903,100482
2025-02-18,4433476374490420,154809,14666,267825,258615,111765,66681,153499,51114
2025-02-18,5586107379096920,527872,921491,1010211,1269592,575372,397771,799368,485872
2025-02-18,4433198023962519,53769,14666,51458,173915,19213,43851,111276,16535
2025-02-18,4433074718394891,139367,47620,2156107,218370,134153,176634,210161,27497
2025-02-18,4433853276961154,198532,76897,89582,161128,35152,15816,228992,152525
2025-02-18,5586838319799302,152195,14666,244841,137486,164440,101161,157802,94489
2025-02-18,9966310527686534,513495,648471,602303,1339716,499944,935138,870105,970023
2025-02-18,4433740890745054,250767,302101,568458,990830,411516,688476,674721,726076
2025-02-18,9966230970465554,492420,818511,597261,1057848,519738,135683,2095768,2061890
2025-02-18,1100076477544688,14379,154750,172648,114907,39541,112540,191680,16535
2025-02-18,9966807628426424,77974,200447,55543,244965,15529,15816,73081,150515
2025-02-18,9966256523823850,256625,1713184,800072,2142870,158271,804212,148378,946517
2025-02-18,9966723311487875,137252,88101,168986,157099,97838,78354,203074,211907
2025-02-18,5586119588355738,131836,14666,178194,195700,141681,21750,25026,260848
2025-02-18,9966460481746313,70723,62232,214933,201860,91304,212294,96404,37967
2025-02-18,4433710147829060,924043,486471,902819,1062574,661659,726446,469814,516172
